TR:JMD:CellLine,TR:FLT3i,TR:TNFA,TR:IGF1,TR:MAPK14i,TR:JNKi,TR:PI3Ki,TR:MTORi,TR:MEK1_2i,TR:GSK3Bi,TR:GSK3Ai,DA:CREB,DA:JNK,DA:MAPK14,DA:ERK1_2,DA:STAT3,DA:STAT5A,DA:GSK3B,DA:IGF1R,DA:MTOR,DA:RPS6KB1,DA:PTEN,DA:GSK3A,DA:TSC2,DA:RPS6,DV:CREB,DV:JNK,DV:MPAK14,DV:ERK1_2,DV:STAT3,DV:STAT5A,DV:GSK3B,DV:IGF1R,DV:MTOR,DV:RPS6KB1,DV:PTEN,DV:GSK3A,DV:TSC2,DV:RPS6
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058872305,0.083074212,1.243159204,0.017931177,0.014691741,0.00876162,0.034105944,0.00509629,0.052040966,0.005704507,0.452554068,0.0053258,0.071201058,0.009697661
1,1,1,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.164827161,0.219732198,1.487198162,0.023366272,0.027460829,0.012338265,0.050762493,0.005739763,0.06595958,0.0072772,0.55342726,0.006764721,0.12181129,0.01287531
1,1,0,1,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.045554564,0.07867975,0.98661909,0.017994568,0.014259846,0.011129061,0.034695052,0.005118505,0.052464671,0.006119951,0.5275202,0.005422699,0.091024166,0.010932106
1,1,1,0,1,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.038288794,0.36829104,1.144285238,0.035144846,0.038098412,0.009992946,0.03840708,0.004955752,0.067035398,0.006681416,0.538156638,0.005539637,0.105752212,0.011681416
1,1,1,0,0,1,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.151764585,0.122234798,1.482667981,0.022123651,0.01491923,0.010035123,0.028266426,0.005417957,0.045859133,0.006084181,0.530496667,0.006095201,0.045472136,0.011170956
