node	FLT3.ITD.TNF.IGF	FLT3i	FLT3i.MAPK14i	FLT3i.JNKi	FLT3i.PI3Ki	FLT3i.MTORi	FLT3i.MEK1_2i	FLT3i.GSK3Bi	FLT3i.GSK3Ai	FLT3i.ERK1_2i	FLT3i.KRASi	FLT3i.PDPK1i
FLT3	1	0	0	0	0	0	0	0	0	0	0	0
AKT	1	1	1	1	1	1	1	1	1	1	1	1
ERK1_2	1	1	1	1	1	1	1	1	1	0	1	1
GSK3B	0	0	0	0	0	0	0	0	0	1	0	0
KRAS	1	1	1	1	1	1	1	1	1	1	0	1
MAPK14	1	1	0	1	1	1	1	1	1	1	1	1
MEK1_2	1	1	1	1	1	1	0	1	1	1	1	1
MTOR	1	1	1	1	1	0	1	1	1	0	1	1
PDPK1	0	0	0	0	0	0	0	0	0	0	0	0
PTPN11	1	1	1	1	1	1	1	1	1	1	1	1
RPS6KA1	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KB1	1	1	1	1	1	1	1	1	1	0	1	1
TNF	1	1	1	1	1	1	1	1	1	1	1	1
IGF1R	1	1	1	1	1	1	1	1	1	1	1	1
IRS1	1	1	1	1	1	1	1	1	1	1	1	1
GSK3A	1	1	1	1	1	1	1	1	0	1	1	1
INSR	1	1	1	1	1	1	1	1	1	1	1	1
SHC1	1	1	1	1	1	1	1	1	1	1	1	1
GRB2	1	1	1	1	1	1	1	1	1	1	1	1
KIT	0	0	0	0	0	0	0	0	0	0	0	0
PTPN1	0	0	0	0	0	0	0	0	0	0	0	0
CBL	0	0	0	0	0	0	0	0	0	0	0	0
PTEN	1	1	1	1	1	1	1	1	1	1	1	1
TSC2	0	0	0	0	0	0	0	0	0	1	0	0
JNK	1	0	0	0	0	0	0	0	0	0	0	0
PI3K	1	1	1	1	0	1	1	1	1	1	1	1
STAT3	1	1	1	1	1	1	1	1	1	0	1	1
RPS6	1	0	0	0	0	0	0	0	0	0	0	0
CREB1	1	1	0	1	1	1	1	1	1	1	1	1
STAT5A	1	1	1	1	1	1	1	1	1	0	1	1
