condition	JMD1	JMD_TKD1	JMD2	JMD_TKD2	JMD3	JMD4	JMD5	JMD_TKD3	TKD1	TKD2	JMD6	JMD7	JMD8	JMD_TKD4
FLT3+ITD+TNF+IGF	4	4	4	4	4	4	4	4	3	3	4	4	4	4
FLT3i	2	2	2	2	2	2	2	2	3	3	2	2	4	2
FLT3i+MAPK14i	1	1	1	1	1	1	1	1	3	3	1	1	3	1
FLT3i+JNKi	2	2	2	2	2	2	2	2	3	2	2	2	4	2
FLT3i+PI3Ki	1	1	1	1	1	1	1	1	2	2	1	1	3	1
FLT3i+MTORi	2	2	2	2	2	2	2	2	3	3	2	2	3	2
FLT3i+MEK1_2i	2	2	2	2	2	2	2	2	3	3	2	2	4	2
FLT3i+GSK3Bi	2	2	2	2	2	2	2	2	3	3	2	2	4	2
FLT3i+GSK3Ai	2	2	2	2	2	2	2	2	3	3	2	2	4	2
FLT3i+ERK1_2i	2	2	2	2	2	2	2	2	3	3	2	2	2	2
FLT3i+KRASi	2	2	2	2	2	2	2	2	3	3	2	2	4	2
FLT3i+PDPK1i	2	2	2	2	2	2	2	2	3	3	2	2	4	2
