GeneID	gene_name	JMD1	JMD_TKD1	JMD2	JMD_TKD2	JMD3	JMD4	JMD5	JMD_TKD3	TKD1	TKD2	JMD6	JMD7	JMD8	JMD_TKD4
1	A1BG	0	0	0	0	5	4	4	0	0	2	1	1	0	0
503538	A1BG-AS1	0	4	0	3	4	3	2	0	2	5	3	2	2	1
29974	A1CF	0	0	0	1	1	0	0	0	0	0	0	1	0	0
2	A2M	4	0	6	2	5	2	0	10	0	0	7	4	2	1
144571	A2M-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
144568	A2ML1	3	1	1	0	1	4	2	0	1	0	0	1	2	1
127550	A3GALT2	1	0	0	0	0	2	0	0	1	0	0	3	0	0
53947	A4GALT	1	6	0	0	0	2	0	0	0	1	2	2	1	3
51146	A4GNT	0	0	0	0	1	1	0	1	0	0	0	0	0	0
8086	AAAS	2	6	0	7	8	4	16	11	9	3	0	8	1	0
65985	AACS	1	1	2	1	1	8	2	2	4	2	2	2	4	5
13	AADAC	0	0	0	0	1	0	0	0	0	0	0	0	0	0
101928142	AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
126767	AADACL3	0	0	1	1	0	1	0	0	0	0	0	3	2	2
343066	AADACL4	0	0	0	0	0	2	0	0	0	0	1	1	1	0
51166	AADAT	1	0	1	1	0	1	0	0	1	7	2	1	0	0
79719	AAGAB	3	2	2	4	2	1	9	0	6	0	2	5	4	12
22848	AAK1	31	61	33	38	120	38	31	36	28	57	66	101	21	57
28971	AAMDC	5	1	1	7	6	2	4	1	0	1	2	2	0	1
14	AAMP	4	9	9	1	4	6	4	13	9	9	13	3	2	3
15	AANAT	0	0	0	1	0	1	0	0	0	0	1	2	2	0
25980	AAR2	2	2	0	1	0	2	3	2	3	1	3	0	1	0
441376	AARD	0	0	0	1	0	5	1	0	0	0	0	0	2	1
16	AARS1	14	6	14	7	14	10	18	4	7	5	10	27	8	2
57505	AARS2	25	18	17	6	14	12	25	11	13	19	15	20	7	3
132949	AASDH	1	0	3	1	1	2	2	9	1	2	3	3	1	0
60496	AASDHPPT	0	0	1	1	1	3	2	5	1	4	0	0	2	1
10157	AASS	0	0	1	0	1	1	0	1	1	0	0	1	2	1
284837	AATBC	0	10	2	1	6	25	0	8	7	10	19	9	17	3
26574	AATF	9	8	12	5	6	7	9	24	4	20	7	8	20	3
9625	AATK	3	3	0	2	1	16	1	3	0	1	1	6	10	7
18	ABAT	12	0	0	1	2	5	0	1	2	2	4	3	2	2
19	ABCA1	4	1	0	6	4	4	4	2	8	4	8	14	1	33
10349	ABCA10	3	0	1	0	0	1	1	0	0	1	0	2	0	0
79963	ABCA11P	0	0	0	0	0	0	0	1	2	2	1	0	2	0
26154	ABCA12	0	0	0	0	0	2	1	0	0	0	0	3	1	2
154664	ABCA13	3	1	0	2	3	2	3	2	1	13	1	16	45	2
